Common Name,Species,Url,Image Description,Category,License,Artist
Highland Tinamou,Nothocercus bonapartei,https://upload.wikimedia.org/wikipedia/commons/d/dc/Nothocercus_bonapartei_308063331.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Highland Tinamou (<i>Nothocercus bonapartei</i>) in Costa Rica,Nothocercus bonapartei|CC-Zero|Media from iNaturalist|INaturalist images reviewed by iNaturalistReviewBot|Files with coordinates missing SDC location of creation|Uploaded with iNaturalist2Commons|Media from GBIF,CC0,"<a rel=""nofollow"" class=""external text"" href=""https://www.inaturalist.org/users/6168763"">Sergio Garrido Villa</a>"
Highland Tinamou,Nothocercus bonapartei,https://upload.wikimedia.org/wikipedia/commons/1/11/Nothocercus_bonapartei_308063344.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Highland Tinamou (<i>Nothocercus bonapartei</i>) in Costa Rica,Nothocercus bonapartei|CC-Zero|Media from iNaturalist|INaturalist images reviewed by iNaturalistReviewBot|Files with coordinates missing SDC location of creation|Uploaded with iNaturalist2Commons|Media from GBIF,CC0,"<a rel=""nofollow"" class=""external text"" href=""https://www.inaturalist.org/users/6168763"">Sergio Garrido Villa</a>"
Highland Tinamou,Nothocercus bonapartei,https://upload.wikimedia.org/wikipedia/commons/8/84/Nothocercus_bonapartei_frantzii_-_Roger_A._Morales-Flores_-_570086566.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"Nothocercus bonapartei frantzii, Mount Totumas Cloud Forest, Provincia de Chiriquí, Panamá, 2025-03-06 (iNaturalist).",Nothocercus bonapartei|Media from iNaturalist|INaturalist images reviewed by iNaturalistReviewBot|Files with coordinates missing SDC location of creation|Media from GBIF|INaturalist images missing SDC depicts|Media uploaded with inat2wiki,CC BY 4.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.inaturalist.org/users/1274738"">Roger A. Morales-Flores</a>"
Highland Tinamou,Nothocercus bonapartei,https://upload.wikimedia.org/wikipedia/commons/d/dc/Nothocercus_bonapartei_308063331.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Highland Tinamou (<i>Nothocercus bonapartei</i>) in Costa Rica,Nothocercus bonapartei|CC-Zero|Media from iNaturalist|INaturalist images reviewed by iNaturalistReviewBot|Files with coordinates missing SDC location of creation|Uploaded with iNaturalist2Commons|Media from GBIF,CC0,"<a rel=""nofollow"" class=""external text"" href=""https://www.inaturalist.org/users/6168763"">Sergio Garrido Villa</a>"
Highland Tinamou,Nothocercus bonapartei,https://upload.wikimedia.org/wikipedia/commons/1/11/Nothocercus_bonapartei_308063344.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Highland Tinamou (<i>Nothocercus bonapartei</i>) in Costa Rica,Nothocercus bonapartei|CC-Zero|Media from iNaturalist|INaturalist images reviewed by iNaturalistReviewBot|Files with coordinates missing SDC location of creation|Uploaded with iNaturalist2Commons|Media from GBIF,CC0,"<a rel=""nofollow"" class=""external text"" href=""https://www.inaturalist.org/users/6168763"">Sergio Garrido Villa</a>"
Highland Tinamou,Nothocercus bonapartei,https://upload.wikimedia.org/wikipedia/commons/8/84/Nothocercus_bonapartei_frantzii_-_Roger_A._Morales-Flores_-_570086566.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"Nothocercus bonapartei frantzii, Mount Totumas Cloud Forest, Provincia de Chiriquí, Panamá, 2025-03-06 (iNaturalist).",Nothocercus bonapartei|Media from iNaturalist|INaturalist images reviewed by iNaturalistReviewBot|Files with coordinates missing SDC location of creation|Media from GBIF|INaturalist images missing SDC depicts|Media uploaded with inat2wiki,CC BY 4.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.inaturalist.org/users/1274738"">Roger A. Morales-Flores</a>"
Highland Tinamou,Nothocercus bonapartei,https://upload.wikimedia.org/wikipedia/commons/8/83/Nothocercus_bonapartei_map.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Range map of Highland Tinamou (<i>Nothocercus bonapartei</i>),Nothocercus bonapartei|Self-published work,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Cephas"" title=""User:Cephas"">Cephas</a>"
Highland Tinamou,Nothocercus bonapartei,https://upload.wikimedia.org/wikipedia/commons/8/83/Nothocercus_bonapartei_map.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Range map of Highland Tinamou (<i>Nothocercus bonapartei</i>),Nothocercus bonapartei|Self-published work,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Cephas"" title=""User:Cephas"">Cephas</a>"
Great Tinamou,Tinamus major,https://upload.wikimedia.org/wikipedia/commons/d/d8/Tinamus_major_185559754.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Great Tinamou (<i>Tinamus major</i>) in Belize,Tinamus major|CC-Zero|Media from iNaturalist|INaturalist images reviewed by iNaturalistReviewBot|Files with coordinates missing SDC location of creation|Uploaded with iNaturalist2Commons|Media from GBIF,CC0,"<a rel=""nofollow"" class=""external text"" href=""https://www.inaturalist.org/users/264097"">Allan Harris</a>"
Great Tinamou,Tinamus major,https://upload.wikimedia.org/wikipedia/commons/c/c7/Tinamus_major_355591631.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Great Tinamou (<i>Tinamus major</i>) in Panama,Tinamus major|Media from iNaturalist|INaturalist images reviewed by iNaturalistReviewBot|Files with coordinates missing SDC location of creation|Uploaded with iNaturalist2Commons|Media from GBIF,CC BY 4.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.inaturalist.org/users/4376205"">Anthony Batista</a>"
