common_name,species
Graylag Goose,Anser anser
Pink-footed Goose,Anser brachyrhynchus
Barnacle Goose,Branta leucopsis
Common Shelduck,Tadorna tadorna
Garganey,Spatula querquedula
Falcated Duck,Mareca falcata
Eastern Spot-billed Duck,Anas zonorhyncha
Common Pochard,Aythya ferina
Tufted Duck,Aythya fuligula
Velvet Scoter,Melanitta fusca
Stejneger's Scoter,Melanitta stejnegeri
Common Scoter,Melanitta nigra
Helmeted Guineafowl,Numida meleagris
Mountain Quail,Oreortyx pictus
Kalij Pheasant,Lophura leucomelanos
Japanese Quail,Coturnix japonica
Erckel's Francolin,Pternistis erckelii
Chestnut-bellied Sandgrouse,Pterocles exustus
Gray-headed Dove,Leptotila plumbeiceps
Oriental Turtle-Dove,Streptopelia orientalis
African Collared-Dove,Streptopelia roseogrisea
Rock Pigeon,Columba livia
Common Cuckoo,Cuculus canorus
Rufous Nightjar,Antrostomus rufus
Gray Nightjar,Caprimulgus jotaka
Black Swift,Cypseloides niger
Mariana Swiftlet,Aerodramus bartschi
Alpine Swift,Tachymarptis melba
Purple-crowned Fairy,Heliothryx barroti
Common Crane,Grus grus
Hooded Crane,Grus monacha
Western Water-Rail,Rallus aquaticus
Spotted Crake,Porzana porzana
Common Moorhen,Gallinula chloropus
Purple Swamphen,Porphyrio porphyrio
European Golden-Plover,Pluvialis apricaria
Eurasian Dotterel,Eudromias morinellus
Common Ringed Plover,Charadrius hiaticula
Little Ringed Plover,Thinornis dubius
Northern Lapwing,Vanellus vanellus
Greater Sand-Plover,Anarhynchus leschenaultii
Oriental Plover,Anarhynchus veredus
Kentish Plover,Anarhynchus alexandrinus
Far Eastern Curlew,Numenius madagascariensis
Slender-billed Curlew,Numenius tenuirostris
Eurasian Curlew,Numenius arquata
Black-tailed Godwit,Limosa limosa
Great Knot,Calidris tenuirostris
Ruff,Calidris pugnax
Broad-billed Sandpiper,Calidris falcinellus
Temminck's Stint,Calidris temminckii
Long-toed Stint,Calidris subminuta
Little Stint,Calidris minuta
Jack Snipe,Lymnocryptes minimus
Eurasian Woodcock,Scolopax rusticola
Solitary Snipe,Gallinago solitaria
Pin-tailed Snipe,Gallinago stenura
Common Snipe,Gallinago gallinago
Common Sandpiper,Actitis hypoleucos
Green Sandpiper,Tringa ochropus
Gray-tailed Tattler,Tringa brevipes
Spotted Redshank,Tringa erythropus
Common Greenshank,Tringa nebularia
Common Redshank,Tringa totanus
Wood Sandpiper,Tringa glareola
Marsh Sandpiper,Tringa stagnatilis
Red Phalarope,Phalaropus fulicarius
Collared Pratincole,Glareola pratincola
Oriental Pratincole,Glareola maldivarum
Great Skua,Stercorarius skua
Blue-gray Noddy,Anous ceruleus
Sooty Tern,Onychoprion fuscatus
Aleutian Tern,Onychoprion aleuticus
Little Tern,Sternula albifrons
Least Tern,Sternula antillarum
Yellow-billed Tern,Sternula superciliaris
