common_name,species,info
Highland Tinamou,Nothocercus bonapartei,"Also known as the Bonaparte’s Tinamou, this species is, as its vernacular name suggests, principally a highland bird. Although its overall altitudinal range extends from 500 m to 2500 m, Highland Tinamou mainly occurs above 1500 m, where it prefers wet areas in dense, tall undergrowth of humid forests, including cloud forests. The geographical range of Highland Tinamou includes montane Costa Rica and western Panama, and it occurs again from northern Venezuela south to extreme northern Peru. The plumage is principally reddish brown, becoming browner over much of the upperparts, with a dark gray crown and sides of the neck. The breeding system of Highland Tinamou is rather better known than many other forest-based tinamous. Each male sings near constantly at the height of the breeding season, sometimes establishing more than one calling arena, linked by paths kept clear of leaves and other debris by the male’s regular activity. Highland Tinamou is polygynous, with several females mating with a single older male, and all of them laying in one nest, giving a total of 4–10 eggs. Young males, however, reportedly only pair with a single female."
Great Tinamou,Tinamus major,"Great Tinamou is a large tinamou of lowland forest from southern Mexico south through the Amazon basin. Like other tinamous, this species is usually detected by voice. Its quavering and mournful, yet powerful, song is given mostly at dawn and dusk and can carry some distance through the forest. Birds forage by walking quietly along the ground. When startled, they explode into the air and crash off through the forest, resembling ""cannonballs with heads and wings"". Individuals roost at night on a branch or vine above the ground, resting their weight on pads on the upper portion of the tarsi. The large size and powerful, quavering song of the Great Tinamou distinguish it from most sympatric lowland tinamous."
Little Tinamou,Crypturellus soui,"The Little Tinamou is a small, cryptic tinamou of Central America and of northwestern South America, the Amazon and Orinoco basins, and southeastern Brazil's Atlantic rainforest. This species patrols the ground near edges of well-shaded primary rainforest and dense secondary forest, slowly walking as it forages for fruit and seeds. The disctinctive tremelo of the Little Tinamou is heard much more often than the bird is seen, and, while it vocalizes more during dawn and dusk, can be heard midday with more regularity than the widely sympatric and more crepuscular Great Tinamou (Tinamus major). The Little Tinamou is small and plain grayish buff, lacking much of the barring patterns of other tinamou species."
Thicket Tinamou,Crypturellus cinnamomeus,"The northernmost representative of a large family of terrestrial birds, Thicket Tinamou occurs from northern Mexico south to southern Costa Rica. This species has two distinctive groups of populations. Along the Pacific lowlands of Mexico from Sinaloa to Guerrero is a subspecies that is gray below and whose male has an unbarred back. From Tamaulipas and the Yucatan Peninsula to the dry forests of northwestern Costa Rica are forms that are cinnamon below and whose males are barred above. Females of all populations are barred above. All Thicket Tinamous also have red legs. Thicket Tinamou occurs from arid woodlands near sea level to approximately 1800 m where it inhabits moist oak woodlands. Although large (length 29 cm), Thicket Tinamou generally remains hidden among dense shrubs, vine tangles, and impenetrable thickets of terrestrial bromeliads, so is usually detected by its far-carrying, mellow, quavering whistle."
Slaty-breasted Tinamou,Crypturellus boucardi,"Also known as Boucard’s Tinamou, Slaty-breasted Tinamou is found only in Middle America, where its overall range extends from southeastern Mexico south to Costa Rica. This species is represented by two subspecies, which differ in overall coloration. It is recorded from sea level to at least 1800 m, and this tinamou is found in a variety of forest types usually with a reasonably dense understory, but also including plantations and taller second growth. The territorial song is a three-noted ah-oowah, which can be heard throughout the day, and year-round, although rain will usually bring a halt to vocalizing activity. Hunting and habitat destruction are the chief threats to its survival, and in some parts of its range Slaty-breasted Tinamou has become relatively rare. Compared to many species of tinamous, the life history of Slaty-breasted Tinamou is relatively well studied, although primarily from research at a single site within the wide range of this species."
Choco Tinamou,Crypturellus kerriae,"Choco Tinamou is found in dense tropical forest at 300–1500 m in extreme southeastern Panama and northwestern Colombia, a region that still is visited only infrequently by ornithologists. As a result, this relatively small, black headed tinamou remains very poorly known, and virtually nothing has been published concerning its natural history. Some authors have suggested that this species is best classified as an isolated subspecies of Slaty-breasted Tinamou (Crypturellus boucardi). Compared to Choco Tinamou, Little Tinamou (Crypturellus soui) is smaller and has grayish legs, while Berlepsch’s Tinamou (Crypturellus berlepschi) is larger and blackish. The voice of Choco Tinamou is described as a low-pitched, faint, mournful, three-note whistle. BirdLife International currently considers this tinamou to be globally threatened based on its small range and presumably declining population."
White-faced Whistling-Duck,Dendrocygna viduata,"The White-faced Whistling-Duck is a boldly patterned resident of freshwater marshes from Costa Rica to northern Argentina and Uruguay. With a black head and crown and white cheek and forehead, the White-faced Whistling-Duck easily is distinguishable from other species in the genus Dendrocygna. These birds are mainly night foragers and feed on a variety of food items including grass, seeds, and aquatic mollusks. During the breeding season, White-faced Whistling-Duck form loose colonies and create nests in long grass or in reedbeds made out of the surrounding vegetation."
Black-bellied Whistling-Duck,Dendrocygna autumnalis,"The Black-bellied Whistling-Duck (formerly Black-bellied Tree Duck) is a highly gregarious Neotropical duck that is restricted to the New World. Distinguished from all other whistling-ducks by its red bill, pink feet, and white wing-patch, it is more arboreal than other whistling-ducks and vocal in flight, often repeating a whistling pe-che-che-ne. It nests primarily in natural cavities in trees but will readily use nest boxes.

In North America, this species breeds mainly along coastal regions of Mexico and southern Texas. Only the northernmost populations appear to be migratory, with wintering individuals found along both coasts of Mexico. The Black-bellied Whistling-Duck forms lifelong pair bonds and breeds in its first year. It often lays its eggs in the nests of conspecifics. The diet of this species is comprised of plant materials, especially Bermuda grass and sorghum seeds. Individuals are attracted to areas where corn and rice are grown and can cause damage to crops. The status of this species appears to be secure due in part to its secluded habitats and its lack of importance as a game species. It is showing signs of range expansion in the United States.

Important information is available from studies in Texas (Bolen 1967b, Delnicki 1973, Delnicki and Bolen 1975, Cain 1976, Mccamant and Bolen 1979, James 2000a) concerning nesting, brood parasitism, and development of young. Nest-box programs have contributed to much of the nesting data collected for this species. Additional studies of reproductive biology and behavior, and of migratory behavior, are needed."
West Indian Whistling-Duck,Dendrocygna arborea,"One of the rarest ducks in the Americas, the West Indian Whistling-Duck is a large, graceful, mostly brown duck with black and white speckling on its flanks, long neck and legs, black bill and large feet. It is endemic to the islands of the West Indies where it can be found in a variety of fresh and saline water bodies, including lagoons, swamps, salt ponds, tidal flats, coastal mangroves, rice fields and palm savannas. West Indian Whistling-Ducks populations are very small on most islands and greatly reduced from historical numbers due to excessive hunting, destruction of wetland habitats and predation by introduced invasive species such as mongoose, rats and feral dogs and cats. Conservationists are seeking to identify important habitats and sites used by this species across its range and to assess population size in each country."
Fulvous Whistling-Duck,Dendrocygna bicolor,"The Fulvous Whistling-Duck (formerly Fulvous Tree Duck) is one of the most widely distributed species of waterfowl in the world, occurring mostly in tropical and subtropical regions but also in temperate areas of the Americas, Africa, and Asia. This medium-sized duck expanded its distribution northward into the southern United States beginning in the mid- to late nineteenth century, becoming established in California and rice (Oryza sativa)-growing regions of the U.S. Gulf Coastal Plain in the early to mid-twentieth century. Erratic wanderings by individuals after the nesting season, especially since the 1950s, have produced numerous reports of vagrants in the Mississippi River Basin, eastern Great Lakes region, and along the Pacific and Atlantic Coasts to southern Canada. U.S. breeding distribution, however, remains restricted to the Gulf Coastal Plain of Texas and Louisiana and localities in southern California and south- and east-central Florida.

Adults are attired in a varied palette of browns; the head, neck and breast are a rich buff (fulvous); the mantle is dark brown with buff-tipped feathers, the flight feathers and tail are dark brown, and a dark brown stripe runs through the center of the crown down the back of the neck to the base of the mantle. There is a horizontal white stripe that separates the flanks from the back and, especially obvious in flight, a white V that separates the dark back and tail feathers. The bill, legs, and feet are gray. Unlike the Black-bellied Whistling-Duck, this species nests on the ground, in marsh vegetation, and in artificial habitats such as shallowly-flooded rice fields. The raspy call is usually two-noted and, as with other whistling-ducks, is frequently heard at night.

Fulvous Whistling-Ducks are migratory in northern portions of their range, but elsewhere they exhibit only local movements. Their return to Gulf Coast nesting areas in February and March coincides with the onset of planting in rice-growing areas. Individuals feed almost exclusively on seeds, especially seeds of native moist-soil plants, which may be abundant in flooded ricefields. They also feed opportunistically on grain in seeded ricefields. Flooding of ricefields in preparation for planting stimulates ground-nesting by birds on ricefield levees and in pastures, haylands, and small grain fields adjacent to ricefields. More commonly, however, Fulvous Whistling-Ducks nest in flooded ricefields when plants are of sufficient stature to support eggs. The species makes only limited use of undisturbed, nonagricultural habitats for nesting in the United States.

Whereas most ducks nesting in temperate regions pair seasonally for only 1 reproductive cycle, pair bonds of Fulvous Whistling-Ducks are suspected to be long-term, extending over multiple nesting seasons or the lifetime of individuals, as in geese and swans. Males and females share equally in incubation, and males also assist with rearing of young. Thus, males contribute to parental care to a greater extent in this species than in other small- to medium-sized waterfowl. Intraspecific brood parasitism is widespread in ground and over-water nests. Additionally, unlike other North American waterfowl that undergo wing molt immediately after the nesting season on breeding areas or at remote northern sites traditionally used for molt, onset of wing molt is delayed in migratory Fulvous Whistling-Ducks until their return to southern wintering areas.

Limited survey information available for this species suggests that Fulvous Whistling-Duck numbers in the United States have fluctuated dramatically since the early twentieth century, when breeding was first documented. Factors possibly contributing to these fluctuations include irregular movements by the species, pesticide contamination, habitat loss and degradation, disturbances associated with agricultural practices, changing agricultural practices, and hunting. In California in the early to mid-1900s, this species commonly bred in southern coastal areas from the San Joaquin Valley to the southern end of San Francisco Bay, and in marshes in southeastern deserts. By the late 1970s, however, breeding was restricted to the Imperial Valley, and in the 1990s, fewer than 5 pairs were regularly observed at remaining nesting locales in the Imperial Valley. Except for Caliornia, however, U.S. breeding populations of Fulvous Whistling-Ducks currently are thought to be stable or increasing. The species' abundance outside of the United States is poorly known.

This species is perhaps the least studied of common North American waterfowl. To date, studies have been conducted primarily in agricultural regions of North and South America at the fringes of the species' breeding distribution and have focused mostly on the duck's importance as an agricultural pest (Meanley and Meanley 1959, Mccartney 1963, Flickinger and King 1972, Bruzual and Bruzual 1983, Dallmeier 1991, Hohman et al. 1996, Wyss 1996, Peris et al. 1998). Consequently, many aspects of the species' behavior, movements, life history, and demography are unknown or known only from captive studies or studies conducted outside of core breeding and wintering areas."
Emperor Goose,Anser canagicus,"Early naturalists exploring western Alaska were intrigued to find a stocky, blue-gray species of coastal goose unique to that area and nearby Russia. As E. W. Nelson (Nelson 1887b) wrote, “Among the various species of birds more or less peculiar to Alaska this goose is perhaps the most noteworthy.”

The Emperor Goose nests in the extensive coastal salt marsh habitats of arctic and sub-arctic Alaska and Russia and winters primarily on coastal beaches along ice-free areas of the Aleutian Islands and the Alaska Peninsula. Locally known as the “Beach Goose” from its habit of roosting and feeding near the waters' edge, the diet of this species consists largely of clams, mussels, and algae when wintering and staging in marine and estuarine habitats. When nesting in terrestrial habitats, it eats mostly roots, bulbs, and shoots of vegetation.

Although the breeding biology and habitat requirements of this goose have been examined in detail, mostly on the Yukon-Kuskokwim Delta (Y-K Delta) of Alaska, there have been no intensive studies of its wintering or staging biology. Recent studies of migration have confirmed pathways and timing between the Y-K Delta and staging areas on the Alaska Peninsula and wintering areas largely on the Aleutian Islands (Hupp et al. 2007). Observations of substantial molt migrations to the Chukotka Peninsula in eastern Russia (Hupp et al. 2007) suggest a possible change in distribution, or at least a clarification, and raise the possibility of harvest mortality on both continents.

Alaska's Emperor Goose population declined precipitously from 139,000 in 1964 to 42,000 in 1986, although its numbers have recovered slightly since then (Fischer et al. 2008). The factors responsible for this quick decline and slow recovery remain poorly known. Hunting, especially subsistence hunting by Native Americans, is probably a factor (Hupp et al. 2008b); coastal oil pollution could also be reducing the survival of overwintering individuals (Byrd et al. 1995); and interspecific competition among brood rearing geese may limit recovery through recruitment (Schmutz and Laing 2002, Lake et al. 2008)."
